timestamp,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z
1723528255.930936575,20.384477176,30.817081115,-0.279606696,-0.009592375,-0.004269651,-0.999702052,0.022035526,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.035388947,20.137730123,30.864121885,-0.295252714,-0.010069855,-0.003867287,-0.999663857,0.023575744,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.122737646,19.897652243,30.903198343,-0.287798195,-0.010064197,-0.003169748,-0.999628502,0.025130095,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.245455265,19.647819685,30.945387484,-0.280633069,-0.010135749,-0.002984701,-0.999607209,0.025957381,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.355956554,19.389805107,30.995544300,-0.281270570,-0.010017400,-0.003904636,-0.999558138,0.027711617,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.480906010,19.134247757,31.035265746,-0.285475954,-0.009961785,-0.003248217,-0.999537741,0.028539734,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.604653597,18.863448356,31.071615288,-0.290693338,-0.008888618,-0.003237301,-0.999507854,0.029909248,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.697231293,18.612831613,31.109437002,-0.289304849,-0.008284361,-0.002435948,-0.999495736,0.030556661,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.803769350,18.354091505,31.143506544,-0.287042760,-0.007883043,-0.001187777,-0.999467430,0.031643365,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.896281719,18.083802173,31.185261611,-0.277190281,-0.007901180,-0.000681410,-0.999469754,0.031580338,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528256.997613430,17.830852769,31.220413488,-0.280432745,-0.007482065,-0.001389464,-0.999464524,0.031823800,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.107069254,17.562416664,31.271512533,-0.288817230,-0.007419542,-0.001534560,-0.999480935,0.031312224,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.169570923,17.295635432,31.302071362,-0.281348999,-0.006531136,-0.001864593,-0.999499876,0.030884707,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.289659739,17.026628738,31.344992446,-0.279854521,-0.006028418,-0.001817313,-0.999531942,0.029937478,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.391726971,16.752051833,31.387401537,-0.273382447,-0.005777119,-0.001264907,-0.999578779,0.028412853,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.492831469,16.480055059,31.420176877,-0.263778833,-0.004689774,-0.001456135,-0.999593193,0.028095077,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.615485668,16.195570338,31.462556088,-0.268711749,-0.004262129,-0.001127907,-0.999619107,0.027243391,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.705154896,15.921438444,31.504758595,-0.265447007,-0.004105732,-0.000701988,-0.999659845,0.025745776,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.786618948,15.642493644,31.551561429,-0.275202069,-0.004191861,0.000051655,-0.999656774,0.025860399,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528257.891373873,15.356542319,31.612645683,-0.278195343,-0.003386088,-0.000135956,-0.999680580,0.025045045,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.017456293,15.070172764,31.657384852,-0.285218700,-0.003567661,0.000486617,-0.999700026,0.024225859,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.125511885,14.779491224,31.708316146,-0.284705991,-0.003861073,-0.000315385,-0.999714356,0.023583866,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.211849689,14.496953265,31.754798988,-0.279474358,-0.004735183,-0.000970674,-0.999738844,0.022335606,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.315551519,14.205174026,31.798440170,-0.279205017,-0.005192713,-0.001004237,-0.999762326,0.021149891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.396455050,13.923296082,31.848532305,-0.284457894,-0.005661615,0.000156133,-0.999771245,0.020624718,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.502857447,13.637146383,31.897156432,-0.276088138,-0.006339183,0.001014294,-0.999787476,0.019590542,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.637091875,13.351199677,31.940665044,-0.273825729,-0.007828955,0.001319624,-0.999791960,0.018788372,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.720988989,13.059868270,31.996111994,-0.271887662,-0.007298331,0.001778013,-0.999810179,0.017977206,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.812804699,12.766700332,32.048532273,-0.268953628,-0.007629136,0.001610761,-0.999817758,0.017425645,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.894139051,12.464433947,32.112704110,-0.270790547,-0.007851357,0.001439196,-0.999834968,0.016319341,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528258.975171566,12.167542988,32.168154820,-0.274949809,-0.008102197,0.002420284,-0.999849740,0.015132548,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.096352816,11.875792229,32.219842172,-0.265457497,-0.007479434,0.002004582,-0.999865540,0.014454795,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.197626114,11.581718311,32.275024972,-0.262711351,-0.007063190,0.001784807,-0.999880887,0.013606497,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.283108473,11.295336901,32.332919211,-0.269943172,-0.006657222,0.001301379,-0.999892080,0.013031315,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.385780334,11.015966445,32.380164124,-0.260516408,-0.006504767,0.000986181,-0.999896227,0.012816005,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.467857599,10.738268505,32.432552779,-0.259612857,-0.007390850,0.001856094,-0.999891580,0.012599935,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.555543900,10.448011409,32.484793617,-0.268177898,-0.007248892,0.002406871,-0.999887034,0.012945223,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.636891842,10.155521688,32.533373612,-0.271995158,-0.006950551,0.002199326,-0.999887144,0.013135874,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.747520924,9.877086057,32.584538890,-0.259724411,-0.006105605,0.002765606,-0.999872849,0.014469249,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.856112480,9.581833518,32.630993029,-0.259362392,-0.005759954,0.002804886,-0.999865202,0.015117351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528259.936653614,9.299154838,32.688930856,-0.269361429,-0.005806019,0.002802406,-0.999851253,0.015997121,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.024676561,9.007280150,32.731903063,-0.268612634,-0.005698769,0.003015648,-0.999832226,0.017144959,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.090337992,8.727380788,32.786245238,-0.267743244,-0.004243895,0.003347380,-0.999825617,0.017875149,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.192381620,8.451844132,32.833214376,-0.267878673,-0.002319701,0.004109016,-0.999814035,0.018698409,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.321042299,8.166042353,32.890951073,-0.254671423,-0.002410372,0.003451629,-0.999794577,0.019826240,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.432360172,7.877065121,32.931515701,-0.251275743,-0.002101684,0.003661292,-0.999788450,0.020130404,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.517333984,7.601005524,32.956666770,-0.262103136,-0.001499076,0.003982439,-0.999751472,0.021883485,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.577813148,7.311509208,32.998203993,-0.274230340,-0.000964488,0.005914252,-0.999695146,0.023952156,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.697666883,7.021530648,33.043311186,-0.275821200,-0.000407302,0.005848971,-0.999675888,0.024773834,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.784469604,6.741974853,33.097039617,-0.273303182,-0.000566622,0.007019626,-0.999628374,0.026334711,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.899921894,6.445862987,33.146134613,-0.276150218,0.001030123,0.006745869,-0.999596109,0.027587165,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528260.970933676,6.159536011,33.191288763,-0.275986337,-0.000264811,0.007803255,-0.999550817,0.028934477,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.057639837,5.884428219,33.222466351,-0.264225366,-0.002250162,0.006469588,-0.999498306,0.030922755,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.146065474,5.601158802,33.262758192,-0.275333068,-0.003035428,0.006675622,-0.999465125,0.031869836,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.215183258,5.327741064,33.305583193,-0.280698447,-0.004753113,0.006600428,-0.999413192,0.033273308,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.277233124,5.053227503,33.344644779,-0.284828857,-0.005315775,0.006766816,-0.999366368,0.034537166,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.382894993,4.755730693,33.399188705,-0.289323934,-0.006466352,0.007056034,-0.999298018,0.036219732,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.507616997,4.460398982,33.441561984,-0.291583988,-0.006766008,0.006195088,-0.999250817,0.037598485,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.582369804,4.187273888,33.479592141,-0.280080462,-0.006073536,0.005398312,-0.999213067,0.038822898,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.690492392,3.906387711,33.525069423,-0.274077327,-0.005672196,0.004655986,-0.999149917,0.040565898,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.766855717,3.617511360,33.555823604,-0.281447440,-0.005637861,0.004609884,-0.999102550,0.041725988,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.851325512,3.344305075,33.587091887,-0.259017240,-0.004495594,0.008016997,-0.999001731,0.043715662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1723528261.943867445,3.056141502,33.622618908,-0.240195691,-0.006392704,0.005847976,-0.998974903,0.044430585,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
